objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
PSO J167.5102-12.9202,92491675102156156,268513280,32,167.51018293,-12.9201973,56059.24815972,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.12529945373535,0.017513999715447426
PSO J167.5104-12.9210,92491675104105116,268959744,32,167.5104108,-12.92104441,-999.0,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5107-12.9219,92491675107324059,268959744,32,167.51072635,-12.92192067,55606.57704861,0,1,0,0,0,-999.0,-999.0,23.921300888061523,0.24116800725460052,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5107-12.9240,92491675107471627,302067712,36,167.5107235,-12.92397248,56007.36618056,1,0,0,0,0,21.425899505615234,0.13956500589847565,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5109-12.9213,92491675108684749,268959744,32,167.51086531,-12.92134723,55606.58871528,0,1,0,0,0,-999.0,-999.0,22.72480010986328,0.3346399962902069,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5110-12.9211,92491675110425072,268959744,32,167.51104332,-12.92108147,55343.27508102,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5111-12.9207,92491675110495466,268959744,32,167.51105127,-12.92074842,55590.50946759,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5111-12.9234,92491675110882290,268959744,32,167.51108206,-12.92339417,55606.57704861,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5115-12.9236,92491675114862042,268959744,32,167.51148346,-12.92360261,55606.58871528,0,1,0,0,0,-999.0,-999.0,22.554500579833984,0.2371000051498413,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5118-12.9174,92491675118369506,268513280,32,167.51181511,-12.91739847,55274.40244213,1,0,0,0,0,18.55030059814453,0.007662999909371138,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5119-12.9217,92491675119154337,268959744,32,167.51191508,-12.92169362,-999.0,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5121-12.9219,92491675121064089,268513280,32,167.512079,-12.92190601,56285.67135417,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.57069969177246,0.021369000896811485
PSO J166.9871-12.7046,92751669870924895,268959744,32,166.98709722,-12.70457956,55606.57704861,0,1,0,0,0,-999.0,-999.0,22.23740005493164,0.22494100034236908,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
