objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr,dist
PSO J167.5046-12.5135,92981675046514153,436527104,52,167.5046265488767,-12.513521585235493,56635.90084572356,13,10,16,16,13,19.05620002746582,0.0197110008448362,18.61400032043457,0.0128309996798634,18.50379943847656,0.0074350000359117,18.460599899291992,0.0088630001991987,18.61540031433105,0.0332150012254715,6.932300971723392
PSO J167.5097-12.5106,92981675097197551,436527104,52,167.5096841471976,-12.51062986570423,56686.05437532719,6,12,18,5,0,21.596099853515625,0.1174340024590492,21.23450088500977,0.0681359991431236,20.98069953918457,0.0940710008144378,20.64970016479492,0.1355859935283661,-999.0,-999.0,7.2778522163901265
PSO J167.5101-12.5122,92981675100755846,436527104,52,167.51006479015837,-12.512240463190988,56512.94822667945,3,2,4,1,0,22.456199645996094,0.1890340000391006,22.617700576782227,0.0002099999983329,21.52560043334961,0.1347869932651519,20.52359962463379,0.1830189973115921,-999.0,-999.0,7.236553842859839
PSO J167.5169-12.5117,92981675169286332,503635968,60,167.51689655359027,-12.511693506505582,56646.04140791549,12,16,17,13,10,20.72130012512207,0.0625789985060691,19.3754997253418,0.017757000401616,18.11429977416992,0.0077249999158084,17.563100814819336,0.0046939998865127,17.296300888061523,0.0214360002428293,7.584964625525273
PSO J167.5279-12.5126,92981675279505302,436527104,52,167.52791009486631,-12.51255651887136,56665.3281045804,3,14,18,13,6,21.585100173950195,0.1047659963369369,21.062299728393555,0.0633059963583946,19.85849952697754,0.0205530002713203,19.52879905700684,0.0365110002458095,19.432600021362305,0.0655059963464737,8.10178818007416
PSO J167.1205-12.4571,93051671205531871,503635968,60,167.12051982395693,-12.457096121886144,56255.34914067511,8,7,9,9,11,20.075300216674805,0.0579189993441104,18.88789939880371,0.0204399991780519,18.076400756835938,0.0047100000083446,17.736900329589844,0.0084600001573562,17.504199981689453,0.0127699999138712,19.246999664729348
PSO J167.1269-12.4580,93051671269330710,436527104,52,167.12691809613895,-12.45805860307948,56458.416758848936,1,9,12,5,2,21.451400756835938,0.1859800070524215,20.97610092163086,0.1334919929504394,20.743099212646484,0.0672900006175041,20.411500930786133,0.1140070036053657,19.74850082397461,0.1811960041522979,18.872419736187634
PSO J167.1299-12.4530,93051671299876802,512024576,61,167.12994114985716,-12.452989352831416,56619.16595095585,12,9,10,7,10,19.79170036315918,0.0465329997241497,18.722299575805664,0.0153519995510578,18.332799911499023,0.0119209997355937,18.28400039672852,0.0235910005867481,18.034099578857425,0.0234220009297132,18.833339508987038
PSO J167.1439-12.4567,93051671439052363,444915712,53,167.14388461511174,-12.456684920622187,56743.99569975535,9,14,18,9,1,21.366199493408203,0.1545549929141998,20.4424991607666,0.0237140003591775,20.10110092163086,0.0470179989933967,19.797199249267575,0.0744550004601478,19.679500579833984,0.1779049932956695,17.982079475952183
PSO J167.1467-12.4519,93051671467078054,436527104,52,167.1466716534622,-12.451929563021176,56697.178003729874,11,16,18,10,14,20.710899353027344,0.1006340011954307,19.55299949645996,0.0244769994169473,18.971900939941406,0.019896000623703,18.69179916381836,0.0075039998628199,18.55270004272461,0.0233549997210502,17.95698079706843
PSO J167.1538-12.4545,93051671539684856,444915712,53,167.15388075021806,-12.454457472966723,56814.78223398449,1,8,13,2,0,21.75469970703125,0.195263996720314,21.034299850463867,0.0771510004997253,20.93099975585937,0.0829180032014846,20.1924991607666,0.1006660014390945,-999.0,-999.0,17.502346139033374
PSO J167.1595-12.4565,93051671595662591,436527232,52,167.15952634953658,-12.456499830420702,56792.77867367804,13,13,18,10,12,19.50230026245117,0.0202389992773532,19.18939971923828,0.0139330001547932,19.048999786376957,0.0169510003179311,19.04490089416504,0.0231929998844862,18.96660041809082,0.0387170016765594,17.144749616699702
PSO J167.1610-12.4554,93051671610563930,503635968,60,167.16102433587892,-12.455377665764235,56797.19909539799,13,14,18,9,13,18.565099716186523,0.0119260000064969,18.117900848388672,0.007337000221014,17.91510009765625,0.006004000082612,17.852399826049805,0.0112410001456737,17.773500442504883,0.0129060000181198,17.095318477348673
PSO J167.1746-12.4529,93051671746426932,444915712,53,167.1745809377638,-12.452870507591774,56717.4279019816,5,10,4,3,1,21.26689910888672,0.1425700038671493,20.63969993591309,0.0517010018229484,20.177000045776367,0.107182003557682,20.10860061645508,0.336010992527008,18.563600540161133,0.1561769992113113,16.44855983457318
PSO J167.5157-12.9019,92511675156398067,444915712,53,167.5156651738067,-12.901871494050257,56345.35937627093,2,17,16,15,9,21.673900604248047,0.1419800072908401,20.55109977722168,0.041933000087738,19.926000595092773,0.0331760011613369,19.603200912475582,0.0325889997184276,19.38159942626953,0.1316059976816177,19.920124030272255
PSO J167.0970-12.6608,92801670970807434,436527104,52,167.09703683791588,-12.66078774114541,56611.84604691899,11,10,18,14,15,18.72559928894043,0.0088809998705983,18.40800094604492,0.0053119999356567,18.25749969482422,0.0073429998010396,18.25230026245117,0.014568000100553,18.15959930419922,0.0291200000792741,19.567640903885938
PSO J167.0975-12.6638,92801670975323837,444915712,53,167.0974936258891,-12.663780802192957,56607.31990714199,1,3,10,1,0,21.043500900268555,0.1506679952144622,20.392799377441406,0.0765250027179718,20.28400039672852,0.1031450033187866,20.510900497436523,0.1829040050506591,-999.0,-999.0,19.583160215382968
PSO J167.1000-12.6656,92801671000431687,436527104,52,167.09996851090776,-12.665579859423554,56388.9929318747,5,12,16,15,16,21.36210060119629,0.0399900004267692,20.577600479125977,0.051511000841856,19.02549934387207,0.0107490001246333,18.392799377441406,0.0201200004667043,18.111400604248047,0.0272240005433559,19.465312314405086
PSO J167.1186-12.6589,92801671186559701,503635968,60,167.11862690712277,-12.65891269568,56568.37391216584,13,12,17,13,12,17.84589958190918,0.0049290000461041,17.442800521850586,0.0037849999498575,17.28849983215332,0.0034179999493062,17.259700775146484,0.0044550001621246,17.182300567626953,0.0149339996278285,18.28211771863705
