id,date,num_x,V_RBT,V_RBT_err,flag_x,R_RBT,R_RBT_err,flag_y,V_JC_PS,V_JC_PS_err,R_JC_PS,R_JC_PS_err,R_JC_RBT_1,V_JC_RBT_1,R_JC_RBT_2,V_JC_RBT_2,R_JC_RBT_3,V_JC_RBT_3
2017-12-12_14,2017-12-12,14,37.853,0.013,OK,37.562,0.014,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.641516800909422,13.994576660107427,16.21365293155347,13.937288567724757,13.030685714285703,21.75925714285725
2017-12-12_15,2017-12-12,15,39.305,0.051,OK,38.797,0.042,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.865264635330199,15.430691249877931,17.45168096968921,15.37379939349755,13.955685714285705,27.85092380952389
2017-12-12_16,2017-12-12,16,38.879,0.034,OK,38.597,0.033,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.675970666207888,15.019805646411129,17.254096009271823,14.954827896331231,14.07854285714286,22.592828571428516
2017-12-14_1,2017-12-14,1,37.681,0.017,OK,37.301,0.019,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-14_2,2017-12-14,2,37.913,0.011,OK,37.635,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.714516800909422,14.054576660107422,16.294944691018948,14.008994581087784,13.12225714285714,21.541304761904755
2017-12-14_3,2017-12-14,3,39.317,0.039,OK,38.907,0.036,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.975264635330198,15.442691249877932,17.57417540176048,15.403438591715812,14.205685714285702,25.767590476190577
2017-12-14_4,2017-12-14,4,39.035,0.032,OK,38.696,0.031,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.774970666207885,15.175805646411128,17.36434099813596,15.126703174727666,14.096114285714282,23.967542857142845
2017-12-14_5,2017-12-14,5,37.612,0.015,OK,37.424,0.012,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-14_6,2017-12-14,6,37.878,0.011,OK,37.675,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.754516800909421,14.019576660107425,16.339488120863045,13.980408834985333,13.26939999999999,19.90273333333342
2017-12-14_7,2017-12-14,7,39.226,0.036,OK,39.029,0.041,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,15.097264635330205,15.35169124987793,17.71003286278499,15.332002066103342,14.631971428571436,21.12244761904755
2017-12-14_8,2017-12-14,8,38.933,0.029,OK,38.685,0.03,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.76397066620789,15.073805646411131,17.352091554928844,15.02293925490585,14.21511428571429,21.91987619047616
2017-12-14_9,2017-12-14,9,37.627,0.016,OK,37.458,0.015,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-14_10,2017-12-14,10,37.889,0.011,OK,37.677,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.756516800909424,14.030576660107428,16.341715292355246,13.991729547680215,13.25854285714285,20.106161904762
2017-12-14_11,2017-12-14,11,39.301,0.039,OK,38.782,0.032,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.850264635330198,15.426691249877933,17.434977183497676,15.367394048285973,13.924971428571414,28.082114285714425
2017-12-14_12,2017-12-14,12,38.966,0.028,OK,38.779,0.034,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.85797066620789,15.106805646411132,17.456768615062476,15.071012751565092,14.396257142857147,20.648638095238066
2017-12-14_13,2017-12-14,13,37.608,0.017,OK,37.381,0.022,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-14_14,2017-12-14,14,37.913,0.012,OK,37.636,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.715516800909427,14.054576660107422,16.296058276765052,14.00915493743522,13.124685714285723,21.519923809523696
2017-12-14_15,2017-12-14,15,39.395,0.043,OK,38.966,0.037,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,15.034264635330203,15.520691249877935,17.63987696078053,15.490899616214705,14.237542857142852,26.25182857142864
2017-12-14_16,2017-12-14,16,38.933,0.029,OK,38.664,0.029,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.742970666207889,15.073805646411131,17.32870625426069,15.019571771609634,14.164114285714287,22.36887619047618
2017-12-15_1,2017-12-15,1,37.531,0.012,OK,37.264,0.018,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-15_2,2017-12-15,2,37.848,0.012,OK,37.543,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.622516800909423,13.989576660107424,16.192494802377524,13.929241797123417,12.991685714285712,22.053590476190493
2017-12-15_3,2017-12-15,3,39.229,0.04,OK,38.914,0.037,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.982264635330203,15.35469124987793,17.581970501983204,15.316561086147885,14.348400000000002,23.648399999999974
2017-12-15_4,2017-12-15,4,38.878,0.03,OK,38.609,0.029,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.687970666207889,15.018805646411131,17.267459038225052,14.955752172500503,14.109114285714288,22.31387619047618
2017-12-15_5,2017-12-15,5,37.234,0.013,OK,37.233,0.014,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-15_6,2017-12-15,6,37.85,0.012,OK,37.515,0.01,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.594516800909425,13.991576660107427,16.161314401486656,13.926751819395136,12.920828571428569,22.69701904761909
2017-12-15_7,2017-12-15,7,39.233,0.037,OK,38.84,0.036,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.908264635330205,15.358691249877928,17.499565156771627,15.308694716437415,14.162971428571439,25.32011428571417
2017-12-15_8,2017-12-15,8,38.916,0.028,OK,38.605,0.028,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.683970666207884,15.056805646411128,17.263004695240642,14.993110747110741,14.04511428571428,23.249876190476208
2017-12-15_9,2017-12-15,9,38.228,0.082,OK,37.276,0.015,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-15_10,2017-12-15,10,38.041,0.055,OK,37.537,0.011,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.616516800909423,14.182576660107422,16.185813287900906,14.121279659038784,12.7014,26.501399999999972
2017-12-15_11,2017-12-15,11,39.281,0.162,OK,38.781,0.032,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.8492646353302,15.40669124987793,17.43386359775157,15.347233691938527,13.951114285714281,27.655876190476214
2017-12-15_12,2017-12-15,12,39.243,0.151,OK,38.694,0.03,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.77297066620789,15.383805646411133,17.36211382664376,15.3343824620328,13.794114285714286,28.66554285714287
2017-12-19_1,2017-12-19,1,37.638,0.016,OK,37.241,0.014,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-19_2,2017-12-19,2,37.862,0.012,OK,37.539,0.011,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.618516800909426,14.003576660107427,16.188040459393115,13.942600371733668,12.961971428571427,22.452447619047653
2017-12-19_3,2017-12-19,3,39.319,0.04,OK,38.911,0.038,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.979264635330203,15.444691249877934,17.578629744744898,15.406080017105573,14.212542857142854,25.726828571428623
2017-12-19_4,2017-12-19,4,38.942,0.029,OK,38.562,0.029,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.640970666207885,15.082805646411131,17.215120508158233,15.012215424170883,13.903542857142849,24.751161904761982
2017-12-19_5,2017-12-19,5,37.553,0.012,OK,37.238,0.014,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-19_6,2017-12-19,6,37.889,0.011,OK,37.552,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.631516800909424,14.030576660107428,16.20251707409244,13.971685004250368,12.95497142857142,22.778780952381048
2017-12-19_7,2017-12-19,7,39.265,0.037,OK,38.862,0.034,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.930264635330204,15.390691249877932,17.524064043185877,15.344222556081071,14.170685714285716,25.565923809523802
2017-12-19_8,2017-12-19,8,38.936,0.027,OK,38.59,0.028,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.66897066620789,15.076805646411131,17.246300909049108,15.010705401899166,13.980114285714292,24.018209523809475
2017-12-19_9,2017-12-19,9,37.605,0.013,OK,37.219,0.012,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-19_10,2017-12-19,10,37.882,0.011,OK,37.557,0.011,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.636516800909426,14.023576660107423,16.208085002822962,13.965486785987558,12.977114285714292,22.515209523809453
