num,V_RBT,V_RBT_err,flag,data,id
15,39.561,0.052,OK,2017-12-25,2017-12-25_15
16,39.289,0.04,OK,2017-12-25,2017-12-25_16
17,37.938,0.04,OK,2017-12-25,2017-12-25_17
18,37.885,0.025,OK,2017-12-25,2017-12-25_18
19,39.439,0.096,OK,2017-12-25,2017-12-25_19
20,39.023,0.071,OK,2017-12-25,2017-12-25_20
21,38.295,0.066,OK,2017-12-25,2017-12-25_21
22,38.099,0.045,OK,2017-12-25,2017-12-25_22
23,39.79,0.222,OK,2017-12-25,2017-12-25_23
24,39.025,0.107,OK,2017-12-25,2017-12-25_24
1,37.767,0.014,OK,2017-12-27,2017-12-27_1
2,37.857,0.011,OK,2017-12-27,2017-12-27_2
3,39.22,0.033,OK,2017-12-27,2017-12-27_3
4,38.956,0.026,OK,2017-12-27,2017-12-27_4
5,37.708,0.012,OK,2017-12-27,2017-12-27_5
6,37.895,0.012,OK,2017-12-27,2017-12-27_6
7,39.3,0.036,OK,2017-12-27,2017-12-27_7
8,38.94,0.027,OK,2017-12-27,2017-12-27_8
9,37.784,0.018,OK,2017-12-27,2017-12-27_9
10,37.86,0.011,OK,2017-12-27,2017-12-27_10
11,39.228,0.035,OK,2017-12-27,2017-12-27_11
12,38.915,0.026,OK,2017-12-27,2017-12-27_12
13,37.748,0.015,OK,2017-12-27,2017-12-27_13
14,37.879,0.011,OK,2017-12-27,2017-12-27_14
15,39.236,0.033,OK,2017-12-27,2017-12-27_15
16,38.983,0.028,OK,2017-12-27,2017-12-27_16
17,37.994,0.041,OK,2017-12-27,2017-12-27_17
18,37.953,0.025,OK,2017-12-27,2017-12-27_18
19,39.345,0.087,OK,2017-12-27,2017-12-27_19
20,39.077,0.068,OK,2017-12-27,2017-12-27_20
21,38.02,0.051,OK,2017-12-27,2017-12-27_21
22,37.814,0.033,OK,2017-12-27,2017-12-27_22
23,39.277,0.128,OK,2017-12-27,2017-12-27_23
24,39.131,0.107,OK,2017-12-27,2017-12-27_24
1,37.833,0.02,OK,2017-12-29,2017-12-29_1
2,37.908,0.011,OK,2017-12-29,2017-12-29_2
3,39.356,0.039,OK,2017-12-29,2017-12-29_3
4,38.98,0.027,OK,2017-12-29,2017-12-29_4
5,37.84,0.021,OK,2017-12-29,2017-12-29_5
6,37.899,0.011,OK,2017-12-29,2017-12-29_6
7,39.281,0.037,OK,2017-12-29,2017-12-29_7
8,38.96,0.028,OK,2017-12-29,2017-12-29_8
9,37.8,0.015,OK,2017-12-29,2017-12-29_9
10,37.884,0.011,OK,2017-12-29,2017-12-29_10
11,39.338,0.038,OK,2017-12-29,2017-12-29_11
12,38.915,0.027,OK,2017-12-29,2017-12-29_12
13,37.845,0.015,OK,2017-12-29,2017-12-29_13
14,37.884,0.01,OK,2017-12-29,2017-12-29_14
15,39.304,0.036,OK,2017-12-29,2017-12-29_15
16,38.926,0.025,OK,2017-12-29,2017-12-29_16
17,37.91,0.023,OK,2017-12-29,2017-12-29_17
18,37.947,0.016,OK,2017-12-29,2017-12-29_18
19,39.306,0.049,OK,2017-12-29,2017-12-29_19
20,38.948,0.039,OK,2017-12-29,2017-12-29_20
1,38.162,0.047,OK,2017-12-30,2017-12-30_1
2,37.908,0.025,OK,2017-12-30,2017-12-30_2
3,39.271,0.102,OK,2017-12-30,2017-12-30_3
4,38.977,0.07,OK,2017-12-30,2017-12-30_4
5,38.285,0.055,OK,2017-12-30,2017-12-30_5
6,37.937,0.027,OK,2017-12-30,2017-12-30_6
7,39.549,0.106,OK,2017-12-30,2017-12-30_7
8,38.941,0.064,OK,2017-12-30,2017-12-30_8
9,38.182,0.05,OK,2017-12-30,2017-12-30_9
10,37.928,0.023,OK,2017-12-30,2017-12-30_10
11,39.29,0.086,OK,2017-12-30,2017-12-30_11
12,38.92,0.059,OK,2017-12-30,2017-12-30_12
13,37.927,0.027,OK,2017-12-30,2017-12-30_13
14,37.925,0.013,OK,2017-12-30,2017-12-30_14
15,39.254,0.039,OK,2017-12-30,2017-12-30_15
16,39.016,0.032,OK,2017-12-30,2017-12-30_16
17,37.994,0.03,OK,2017-12-30,2017-12-30_17
18,37.886,0.014,OK,2017-12-30,2017-12-30_18
19,39.274,0.043,OK,2017-12-30,2017-12-30_19
20,38.948,0.034,OK,2017-12-30,2017-12-30_20
