id,date,V_JC_SNe_1,V_JC_SNe_2,V_JC_SNe_3,R_JC_SNe_1,R_JC_SNe_2,R_JC_SNe_3,V,R,V_err,R_err
2017-12-20_1,2017-12-20,13.794576660107426,13.778691249877932,13.793805646411128,13.292516800909429,13.2812646353302,13.29197066620789,13.793805646411128,13.29197066620789,0.007313501235096923,0.005180396708196939
2017-12-20_5,2017-12-20,13.832576660107428,13.816691249877934,13.831805646411134,13.304516800909424,13.293264635330203,13.303970666207888,13.831805646411134,13.303970666207888,0.0073135012350976965,0.00518039670819353
2017-12-20_9,2017-12-20,13.768576660107428,13.752691249877934,13.767805646411134,13.283516800909426,13.272264635330204,13.282970666207888,13.767805646411134,13.282970666207888,0.0073135012350976965,0.005180396708193593
2017-12-21_1,2017-12-21,13.753576660107427,13.737691249877932,13.752805646411131,13.355516800909427,13.344264635330203,13.35497066620789,13.752805646411131,13.35497066620789,0.007313501235098146,0.005180396708194816
2017-12-21_5,2017-12-21,13.783576660107428,13.767691249877936,13.782805646411134,13.389516800909426,13.378264635330204,13.38897066620789,13.782805646411134,13.38897066620789,0.00731350123509686,0.0051803967081939795
2017-12-21_9,2017-12-21,13.75257666010742,13.736691249877929,13.751805646411128,13.353516800909423,13.3422646353302,13.352970666207888,13.751805646411128,13.352970666207888,0.007313501235097247,0.005180396708195203
2017-12-21_13,2017-12-21,13.786576660107428,13.770691249877936,13.785805646411134,13.285516800909429,13.274264635330203,13.28497066620789,13.785805646411134,13.28497066620789,0.00731350123509686,0.005180396708195266
2017-12-21_17,2017-12-21,14.204576660107428,14.188691249877934,14.203805646411134,13.302516800909425,13.2912646353302,13.301970666207886,14.203805646411134,13.301970666207886,0.0073135012350976965,0.005180396708194429
2017-12-22_1,2017-12-22,13.779576660107423,13.76369124987793,13.77880564641113,13.320516800909424,13.309264635330202,13.319970666207888,13.77880564641113,13.319970666207888,0.0073135012350976965,0.005180396708194366
2017-12-22_5,2017-12-22,13.827576660107423,13.811691249877931,13.826805646411133,13.337516800909428,13.326264635330205,13.33697066620789,13.826805646411133,13.33697066620789,0.007313501235097634,0.005180396708194429
2017-12-22_9,2017-12-22,13.847576660107428,13.831691249877936,13.846805646411132,13.284516800909422,13.273264635330202,13.283970666207884,13.846805646411132,13.283970666207884,0.007313501235096473,0.005180396708192756
2017-12-23_1,2017-12-23,13.919576660107424,13.90369124987793,13.91880564641113,13.490516800909424,13.479264635330203,13.489970666207888,13.91880564641113,13.489970666207888,0.0073135012350976965,0.00518039670819353
