    HJD      Phase   Vdmag
51932.59084 0.93282 -0.349
51932.59185 0.93301 -0.361
51932.59287 0.93319 -0.359
51934.55252 0.28914 -0.337
51934.55354 0.28932 -0.349
51934.55455 0.28950 -0.345
51934.55557 0.28969 -0.345
51934.55658 0.28987 -0.345
51934.55759 0.29006 -0.354
51934.55860 0.29024 -0.341
51934.55963 0.29043 -0.340
51934.56065 0.29061 -0.348
51934.56166 0.29080 -0.347
51934.56267 0.29098 -0.346
51934.56368 0.29116 -0.344
51934.56470 0.29135 -0.353
51934.56571 0.29153 -0.349
51934.56671 0.29171 -0.353
51934.56773 0.29190 -0.354
51934.56875 0.29208 -0.353
51934.56976 0.29227 -0.345
51934.57078 0.29245 -0.351
51934.57178 0.29263 -0.349
51947.56181 0.65211 -0.348
51947.56281 0.65229 -0.348
51947.56383 0.65248 -0.365
51947.56484 0.65266 -0.356
51947.56586 0.65285 -0.353
51947.56687 0.65303 -0.348
51947.56787 0.65321 -0.333
51947.56889 0.65340 -0.361
51947.56990 0.65358 -0.346
51947.57092 0.65377 -0.341
51947.57192 0.65395 -0.356
51947.57395 0.65432 -0.347
51947.57499 0.65450 -0.353
51947.57601 0.65469 -0.349
51947.57702 0.65487 -0.356
51947.57802 0.65506 -0.345
51947.57904 0.65524 -0.354
51951.51975 0.37102 -0.340
51951.52078 0.37121 -0.341
51951.52180 0.37139 -0.328
51951.52281 0.37158 -0.363
51951.52384 0.37176 -0.335
51951.52486 0.37195 -0.363
51951.52589 0.37214 -0.354
51951.52691 0.37232 -0.358
51951.52794 0.37251 -0.362
51951.52897 0.37270 -0.350
51951.52999 0.37288 -0.356
51951.53102 0.37307 -0.357
51951.53204 0.37325 -0.353
51951.53307 0.37344 -0.349
51951.53410 0.37363 -0.340
51951.53512 0.37381 -0.352
51951.53615 0.37400 -0.345
51951.53717 0.37419 -0.360
51951.53820 0.37437 -0.356
51951.53921 0.37456 -0.360
51951.54024 0.37474 -0.357
51958.52979 0.64431 -0.360
51958.53083 0.64450 -0.337
51958.53185 0.64468 -0.336
51958.53289 0.64487 -0.351
51958.53391 0.64506 -0.349
51958.53493 0.64524 -0.359
51958.53596 0.64543 -0.347
51958.53698 0.64561 -0.353
51958.53800 0.64580 -0.363
51958.53903 0.64599 -0.338
52023.89362 0.51683 -0.155
52023.89465 0.51702 -0.161
52023.89567 0.51720 -0.172
52023.89669 0.51739 -0.184
52023.89771 0.51757 -0.176
52023.89872 0.51775 -0.186
52023.89975 0.51794 -0.195
52023.90077 0.51813 -0.171
52023.90179 0.51831 -0.188
52023.90281 0.51850 -0.196
52023.90384 0.51868 -0.201
52023.90486 0.51887 -0.205
52023.90588 0.51905 -0.221
52023.90690 0.51924 -0.206
52023.90791 0.51942 -0.221
52023.90893 0.51961 -0.214
52023.90995 0.51979 -0.204
52023.91098 0.51998 -0.226
52023.91201 0.52017 -0.224
52023.91303 0.52035 -0.227
52023.91405 0.52054 -0.226
52023.91507 0.52072 -0.227
52023.91610 0.52091 -0.242
52023.91712 0.52110 -0.233
52023.91813 0.52128 -0.232
52023.91915 0.52147 -0.228
52037.91483 0.06361 -0.354
52037.91585 0.06379 -0.335
52037.91688 0.06398 -0.357
52037.91793 0.06417 -0.371
52037.91896 0.06436 -0.354
52037.91997 0.06454 -0.356
52037.92100 0.06473 -0.358
52037.92203 0.06491 -0.346
52037.92306 0.06510 -0.366
52037.92407 0.06528 -0.342
52037.92508 0.06547 -0.343
52037.92611 0.06565 -0.346
52037.92715 0.06584 -0.363
52037.92816 0.06603 -0.355
52037.92918 0.06621 -0.361
52037.93020 0.06640 -0.355
52037.93124 0.06659 -0.366
52037.93227 0.06677 -0.362
52037.93328 0.06696 -0.372
52037.93431 0.06714 -0.363
52037.93534 0.06733 -0.358
52045.83175 0.50161  0.001
52045.83279 0.50180  0.011
52045.83382 0.50199  0.009
52045.83486 0.50218  0.018
52045.83591 0.50237  0.001
52045.83694 0.50256  0.009
52045.83798 0.50275 -0.025
52045.83901 0.50293  0.008
52045.84004 0.50312  0.007
52045.84108 0.50331 -0.001
52045.84211 0.50350 -0.013
52045.84314 0.50368 -0.004
52045.84417 0.50387 -0.032
52045.84521 0.50406 -0.020
52045.84623 0.50424 -0.007
52045.84726 0.50443 -0.014
52045.84829 0.50462  0.006
52045.84933 0.50481  0.007
52045.85036 0.50499  0.014
52045.85139 0.50518 -0.003
52045.85242 0.50537 -0.010
52045.85346 0.50556 -0.017
52045.85449 0.50575 -0.004
52045.85552 0.50593 -0.026
52045.85657 0.50612 -0.008
52045.85760 0.50631 -0.003
52045.85864 0.50650  0.007
52045.85967 0.50669 -0.036
52045.86174 0.50706 -0.013
52045.86277 0.50725 -0.006
52045.86379 0.50743 -0.010
52045.86483 0.50762 -0.018
52045.86585 0.50781 -0.015
52045.86688 0.50800 -0.023
52045.86792 0.50818 -0.037
52045.86895 0.50837 -0.031
52045.86998 0.50856 -0.046
52045.87101 0.50875 -0.028
52045.87204 0.50893 -0.037
52045.87307 0.50912 -0.038
52045.87410 0.50931 -0.054
52045.87513 0.50949 -0.022
52045.87616 0.50968 -0.047
52045.87720 0.50987 -0.046
52045.87825 0.51006 -0.060
52045.87928 0.51025 -0.047
52045.88031 0.51043 -0.052
52045.88135 0.51062 -0.085
52045.88238 0.51081 -0.061
52045.88340 0.51100 -0.078
52045.88443 0.51118 -0.080
52045.88547 0.51137 -0.078
52045.88649 0.51156 -0.084
52045.88752 0.51174 -0.091
52045.88856 0.51193 -0.091
52045.88960 0.51212 -0.100
52045.89063 0.51231 -0.093
52045.89167 0.51250 -0.099
52045.89270 0.51269 -0.100
52045.89374 0.51287 -0.105
52045.89478 0.51306 -0.103
52045.89582 0.51325 -0.134
52045.89685 0.51344 -0.117
52045.89788 0.51363 -0.123
52045.89891 0.51381 -0.120
52045.89994 0.51400 -0.143
52045.90098 0.51419 -0.135
52045.90201 0.51438 -0.127
52045.90305 0.51457 -0.142
52045.90410 0.51476 -0.160
52045.90512 0.51494 -0.171
52045.90616 0.51513 -0.151
52045.90719 0.51532 -0.157
52045.90822 0.51550 -0.166
52045.90926 0.51569 -0.153
52045.91029 0.51588 -0.163
52045.91132 0.51607 -0.155
52045.91235 0.51625 -0.164
52045.91341 0.51645 -0.181
52045.91444 0.51663 -0.178
52045.91547 0.51682 -0.181
52045.91650 0.51701 -0.179
52045.91754 0.51720 -0.185
52045.91857 0.51738 -0.186
52045.91961 0.51757 -0.208
52045.92065 0.51776 -0.197
52045.92170 0.51795 -0.195
52045.92271 0.51814 -0.183
52045.92376 0.51833 -0.211
52045.92479 0.51851 -0.207
52045.92582 0.51870 -0.209
52045.92685 0.51889 -0.232
52045.92788 0.51908 -0.198
52045.92891 0.51926 -0.208
52056.78987 0.49202  0.001
